h			ח
j           י
tˤ          ט
z           ז
w           ו
⟨h⟩          ה
d           ד
g           ג
b           בּ
v           ב
ʔ           א
f           פ
f(final)    ף
p           פּ
p(final)    ף
ʕ           ע
ʢ           ע
ʔˤ          ע
s           ס
n           נ
n(final)    ן
m           מ
m(final)    ם
l           ל
k           כּ
χ           כ
x           כ
k(final)    ךּ
χ(final)    ך
x(final)    ך
t           ת
ʃ           שׁ
s           שׂ
ʁ           ר
ʀ           ר
r           ר
ɹ           ר
ɾ           ר
kʼ          ק
q           ק
t͡s          צ
sˤ          צ
sˤ(final)   ץ
t͡s(final)   ץ
